Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,DividendDate,ExDividendDate
BCRX,Common Stock,BioCryst Pharmaceuticals Inc,"BioCryst Pharmaceuticals, Inc., a biotechnology company, discovers oral and small molecule drugs. The company is headquartered in Durham, North Carolina.",882796,NASDAQ,USD,USA,LIFE SCIENCES,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)","4505 EMPEROR BOULEVARD, SUITE 200, DURHAM, NC, US",December,6/30/23,1371937000,-111277000,None,-0.28,-2.051,0,0,-1.32,1.634,-0.791,-0.368,-0.136,-19.25,306641000,10936000,-1.32,0,0.259,15.2,-,-,8.45,56.59,9.45,-23.51,1.877,14.5,6.62,7.19,8.49,189494000,None,None
AKYA,Common Stock,Akoya Biosciences Inc,"Akoya Biosciences, Inc., a life sciences technology company, offers space biology solutions focused on transforming discovery and clinical research. The company is headquartered in Marlborough, Massachusetts.",1711933,NASDAQ,USD,USA,LIFE SCIENCES,LABORATORY ANALYTICAL INSTRUMENTS,"100 CAMPUS DRIVE, 6TH FLOOR, MARLBOROUGH, MA, US",December,6/30/23,259876000,-61263000,None,None,1.473,0,0,-1.99,2.195,-0.898,-0.815,-0.232,-0.938,85002000,43390000,-1.99,0,0.314,14.13,-,-,6.67,6.25,6.49,-7.65,1.119,14.38,4.17,6.37,8.59,48940900,None,None
AYRO,Common Stock,AYRO Inc,"Ayro, Inc. designs and manufactures light, emission-free electric vehicles for urban and community transportation, local delivery, closed campus mobility, recreational and government use. The company is headquartered in Round Rock, Texas.",1086745,NASDAQ,USD,USA,TECHNOLOGY,"COMMUNICATIONS SERVICES, NEC","1412 BROADWAY, SUITE 2105, NEW YORK, NY, US",December,6/30/23,17734300,-23799324,None,None,1.095,0,0,-0.61,0.033,0,-20.09,-0.282,-0.455,1234700,-2091187,-0.61,0,-0.858,1.3,-,-,5.94,0.362,2.77,1.428,3.863,7.52,2.22,0.702,0.614,37732500,5/29/20,None
BHAC,Common Stock,Barington/Hilco Acquisition,None,1851612,NASDAQ,USD,USA,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,"819 NE 2ND AVENUE, SUITE 300, FORT LAUDERDALE, FL, US",December,6/30/23,112684000,None,18.7,None,-0.764,0,0,0.56,0,0,0,-0.0075,0,0,0,0.56,0.318,0,None,18.7,-,-,1.286,-,-,None,11.6,9.92,10.41,10.27,5012600,None,None
BLFY,Common Stock,Blue Foundry Bancorp,None,1846017,NASDAQ,USD,USA,FINANCE,"SAVINGS INSTITUTIONS, NOT FEDERALLY CHARTERED","19 PARK AVENUE, RUTHERFORD, NJ, US",December,6/30/23,240231000,None,None,None,15.67,0,0,-0.06,2.084,-0.0236,-0.0078,-0.0006,-0.0032,52219000,55508000,-0.06,0,-0.147,10,-,625,6.3,0.887,-,-,0.226,13.17,8.14,9.87,10.75,25367600,None,None
BDSX,Common Stock,Biodesix Inc,"Biodesix, Inc. operates a data-driven diagnostic solutions company in the United States. The company is headquartered in Boulder, Colorado.",1439725,NASDAQ,USD,USA,LIFE SCIENCES,SERVICES-MEDICAL LABORATORIES,"2970 WILDERNESS PLACE, SUITE 100, BOULDER, CO, US",December,6/30/23,120280000,-48420000,None,None,-0.089,0,0,-1.04,0.655,-1.587,-1.244,-0.423,-194.97,41642000,24058000,-1.04,0,0.084,4.25,-,-,3.608,5.64,3.221,-2.492,1.365,2.53,0.955,1.343,1.653,78614000,None,None
BWV,Common Stock,Blue Water Vaccines Inc,"Blue Water Vaccines, Inc., a biotechnology company, is engaged in the research and development of vaccines to prevent infectious diseases globally. The company is headquartered in Cincinnati, Ohio.",1782107,NASDAQ,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,"2041 COURTLAND AVENUE, CINCINNATI, OH, US",December,3/31/23,12118600,-14551688,None,None,1.24,0,0,-0.88,0,0,0,-0.435,-0.784,0,0,-0.88,0,0,6.5,-,-,-,0.716,-,0.938,None,2.1,0.505,1.039,1.092,15905700,None,None
AWRE,Common Stock,Aware Inc,"Aware, Inc. offers biometric software products and solutions in the United States, the United Kingdom, and internationally. The company is headquartered in Bedford, Massachusetts.",1015739,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"40 MIDDLESEX TURNPIKE, BEDFORD, MA, US",December,6/30/23,29063200,-9442000,None,0,1.736,0,0,-0.15,0.685,-0.232,-0.69,-0.133,-0.0886,14568000,14748000,-0.15,0,-0.249,3,-,-,2.445,0.924,0.529,-1.271,0.374,2.01,1.32,1.527,1.645,21060300,7/24/14,7/25/14
BLKB,Common Stock,Blackbaud Inc,"Blackbaud, Inc. provides cloud software solutions to nonprofits, foundations, businesses, educational institutions, healthcare organizations, and other social concern entities in the United States and internationally. The company is headquartered in Charleston, South Carolina.",1280058,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"65 FAIRCHILD STREET, CHARLESTON, SC, US",December,6/30/23,3809688000,125429000,None,2.199,14.5,0,0.0097,-0.84,20.54,-0.0413,0.0538,0.0122,-0.0596,1068849000,557116000,-0.84,0.3,0.023,76.67,-,21.01,2.978,4.246,3.868,45.58,1.171,78.71,44.08,73.61,67.19,53855000,3/13/20,2/27/20
ATRI,Common Stock,ATRION Corporation,"Atrion Corporation develops, manufactures, and sells products for fluid management, cardiovascular, and ophthalmic applications in the United States, Germany, and internationally. The company is headquartered in Allen, Texas.",701288,NASDAQ,USD,USA,LIFE SCIENCES,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,"ONE ALLENTOWN PARKWAY, ALLEN, TX, US",December,6/30/23,739053000,44467000,27.33,0,136.88,8.6,0.0219,15.37,96.82,0.159,0.177,0.0698,0.112,171317000,75904000,15.37,-0.283,-0.103,300,27.33,-,5.78,4.574,5.96,20.59,0.508,696.91,399.3,494.02,576.13,1759600,9/29/23,9/14/23
AVPT,Common Stock,Avepoint Inc,None,1777921,NASDAQ,USD,USA,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,"533 AIRPORT BLVD SUITE 400, BURLINGAME, CA, US",December,6/30/23,1269976000,-23758000,None,None,1.137,0,0,-0.23,1.377,-0.167,-0.109,-0.0435,-0.169,250788000,167216000,-0.23,0,0.165,7.83,-,-,3.682,3.81,3.052,-17.85,0.935,7.13,3.4,6.08,5.11,185398000,None,None
BCBP,Common Stock,BCB Bancorp Inc,"BCB Bancorp, Inc. is a bank holding company of BCB Community Bank that provides banking products and services to businesses and individuals in the United States. The company is headquartered in Bayonne, New Jersey.",1228454,NASDAQ,USD,USA,FINANCE,"SAVINGS INSTITUTION, FEDERALLY CHARTERED","104-110 AVENUE C, BAYONNE, NJ, US",December,6/30/23,187863000,None,4.643,1.67,16.6,0.64,0.0564,2.41,6.86,0.363,0.517,0.0121,0.148,116082000,118615000,2.41,-0.138,-0.024,15.83,4.643,-,2.741,1.102,-,-,0.646,19.51,9.85,11.93,13.68,16788500,8/18/23,8/3/23
BVFL,Common Stock,BV Financial Inc. Common Stock,"BV Financial, Inc. is the holding company for BayVanguard Bank that provides various financial services to individuals and businesses in Maryland. ",1302387,NASDAQ,USD,USA,FINANCE,"SAVINGS INSTITUTION, FEDERALLY CHARTERED","7114 NORTH POINT ROAD, BALTIMORE, MD, UNITED STATES",December,6/30/23,112723000,None,7.8,0,9.19,0,0.0117,1.271,3.168,0.343,0.525,0.0139,0.126,35995000,33207000,1.271,0.405,0.201,None,7.8,-,2.216,0.617,-,-,0.585,22.86,9.65,11.2,20.66,11374700,1/7/19,12/28/18
BETR,Common Stock,Better Home & Finance Holding Company,None,1835856,NYSE,USD,USA,FINANCE,LOAN BROKERS,"P.O. BOX 309, UGLAND HOUSE, GRAND CAYMAN, KY",December,6/30/23,632918000,None,None,None,-7.44,0,0,-0.86,0.014,0,-317.55,0,0,1347000,-216506000,-0.86,0,19.06,None,-,-,-,-,-,-,1.226,62.91,0.44,18.94,12.35,9000000,None,None
AHCO,Common Stock,Adapthealth Corp,"AdaptHealth Corp. The company is headquartered in Plymouth Meeting, Pennsylvania.",1725255,NASDAQ,USD,USA,LIFE SCIENCES,SERVICES-HOME HEALTH CARE SERVICES,"220 WEST GERMANTOWN PIKE, SUITE 250, PLYMOUTH MEETING, PA, US",December,6/30/23,1604690000,583003000,98.25,None,16.38,0,0,0.12,22.9,0.0141,0.0635,0.0235,0.0219,3074690000,490826000,0.12,0,0.09,17.3,98.25,16.84,0.933,1.258,1.755,8.82,0.868,23.3,8.41,12.74,15.35,136106000,None,None
ARHS,Common Stock,Arhaus Inc,None,1875444,NASDAQ,USD,USA,TRADE & SERVICES,RETAIL-FURNITURE STORES,"51 EAST HINES HILL ROAD, BOSTON HEIGHTS, OH, US",December,6/30/23,1414042000,238041000,8.54,None,2.062,0,0,1.18,9.32,0.122,0.163,0.137,0.769,1293830000,597756000,1.18,0.109,0.022,15.13,8.54,-,1.199,8.33,1.394,9.44,None,15.27,6.75,10.77,10.18,53167000,None,None
AKAM,Common Stock,Akamai Technologies Inc,"Akamai Technologies, Inc. is a global content delivery network (CDN), cybersecurity, and cloud service company, providing web and Internet security services.",1086222,NASDAQ,USD,USA,TRADE & SERVICES,"SERVICES-BUSINESS SERVICES, NEC","145 BROADWAY, CAMBRIDGE, MA, US",December,6/30/23,16227222000,1083157000,35.53,1.361,28.26,0,0,3.01,23.49,0.131,0.186,0.0514,0.112,3661094000,2237817000,3.01,-0.012,0.036,108.75,35.53,15.2,3.744,3.3,4.524,12.65,0.764,109.05,70.65,101.09,88.37,151713000,None,None
ACXP,Common Stock,Acurx Pharmaceuticals LLC,"Acurx Pharmaceuticals, LLC, a clinical-stage biopharmaceutical company, develops antibiotics to treat bacterial infections. The company is headquartered in Staten Island, New York.",1736243,NASDAQ,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,"259 LIBERTY AVENUE, STATEN ISLAND, NY, US",December,6/30/23,24059400,None,None,None,0.478,0,0,-1.11,0,0,0,-0.889,-1.753,0,0,-1.11,0,0,11.33,-,-,-,4.393,-,-3.519,-1.012,4.61,1.35,2.096,3.063,13005100,None,None
ATXG,Common Stock,Addentax Group Corp,"Addentax Group Corp. The company is headquartered in Shenzhen, China.",1650101,NASDAQ,USD,China,TRADE & SERVICES,"SERVICES-MAILING, REPRODUCTION, COMMERCIAL ART & PHOTOGRAPHY","FLOOR 13TH, BUILDING 1, BLOCK B, ZHIHUI SQUARE, NANSHAN DISTRICT, SHENZHEN CITY, CHINA",March,6/30/23,5454600,-386170,None,None,6.5,0,0,-0.47,2.075,-0.228,-0.117,-0.018,-0.123,6610300,2063300,-0.47,1.531,-0.559,None,-,-,4.033,1.849,2.694,63.05,-25.29,42.9,1.25,2.457,1.65,4295000,3/5/19,None
BHRB,Common Stock,Burke & Herbert Financial Services Corp. Common Stock,"Burke & Herbert Financial Services Corp. The company is headquartered in Alexandria, Virginia.",1964333,NASDAQ,USD,USA,FINANCE,NATIONAL COMMERCIAL BANKS,"100 S. FAIRFAX STREET, ALEXANDRIA, VA, UNITED STATES",December,6/30/23,352492000,None,9.23,0,39.05,3.18,0.0448,5.14,16.7,0.307,0.354,0.0106,0.131,124039000,130252000,5.14,-0.424,-0.139,None,9.23,-,2.663,-,-,-,-0.0021,84.17,46.68,50.66,68.22,7428700,9/1/23,8/14/23
ANGO,Common Stock,AngioDynamics Inc,"AngioDynamics, Inc. designs, manufactures and sells various medical, surgical and diagnostic devices for the treatment of peripheral vascular disease and vascular access; and for use in oncology and surgical settings in the United States and internationally. The company is headquartered in Latham, New York.",1275187,NASDAQ,USD,USA,LIFE SCIENCES,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,"14 PLAZA DRIVE, LATHAM, NY, US",May,5/31/23,289203000,12194000,None,1.87,9.55,0,0,-1.31,8.58,-0.155,-0.0551,-0.0215,-0.131,338752000,174246000,-1.31,0,0.047,17.33,-,1111.11,1.478,1.187,1.611,-120.95,0.611,21.88,6.71,8.06,10.47,39671200,None,None
BELFB,Common Stock,Bel Fuse B Inc,"Bel Fuse Inc. designs, manufactures, markets, and sells products used in the networking, telecommunications, high-speed data transmission, commercial aerospace, military, broadcasting, transportation, and consumer electronics industries in the United States, Macao, United States. United. Kingdom, Slovakia, Germany, Switzerland and internationally. The company is headquartered in Jersey City, New Jersey.",729580,NASDAQ,USD,USA,MANUFACTURING,"ELECTRONIC COILS, TRANSFORMERS & OTHER INDUCTORS","206 VAN VORST ST., JERSEY CITY, NJ, US",December,6/30/23,611900000,108465000,8.27,0,23.83,0.24,0.0061,5.8,54.31,0.106,0.139,0.109,0.275,688064000,183453000,5.8,0.596,-0.011,69,8.27,8.17,0.669,1.78,0.753,6.76,1.715,63.18,25.05,50.42,43.6,10637800,11/1/23,10/12/23
BAER,Common Stock,Bridger Aerospace Group Holdings Inc. Common Stock,"Bridger Aerospace Group Holdings, Inc. provides aerial wildfire management, relief and suppression, and firefighting services in the United States. The company is headquartered in Belgrade, Montana.",1941536,NASDAQ,USD,USA,TRADE & SERVICES,"SERVICES-BUSINESS SERVICES, NEC","90 AVIATION LANE, BELGRADE, MT, UNITED STATES",December,6/30/23,298190000,-51127864,1.054,None,-7.18,0,0,6.36,1.056,-1.897,-1.342,-0.136,-1.405,45545700,12502000,6.36,0,-0.089,None,1.054,-,-,-,-,-,-0.31,25.9,3.26,6.14,6.8,44505900,None,None
ADN,Common Stock,Advent Technologies Holdings Inc,"Advent Technologies Holdings, Inc., an advanced materials and technology development company, operates in the hydrogen and fuel cell technology markets. The company is headquartered in Boston, Massachusetts.",1744494,NASDAQ,USD,USA,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,"600 STEAMBOAT ROAD SOUTH, GREENWICH, CT, US",December,6/30/23,33932600,-44196000,None,None,0.686,0,0,-1.73,0.123,0,-7.42,-0.297,-1.174,6445000,1662600,-1.73,0,-0.5,7.65,-,-,11.66,0.934,2.358,-0.421,-0.125,3.2,0.391,0.719,1.239,59983000,None,None
BNMV,Common Stock,BitNile Metaverse Inc.,None,1437491,NASDAQ,USD,USA,MANUFACTURING,"PLASTICS PRODUCTS, NEC","5899 PRESTON ROAD #505, FRISCO, TX, US",March,0000-00-00,None,None,None,None,None,None,None,None,0,0,0,0,0,0,0,0,0,0,None,-,-,-,-,-,-,None,38.88,0.61,0,0,29000000,None,None
ASTI,Common Stock,Ascent Solar Technologies Inc.,"Ascent Solar Technologies, Inc. designs, manufactures, and sells copper-indium-gallium-diselenide photovoltaic products for aerospace, defense, emergency management, and consumer/OEM applications. The company is headquartered in Thornton, Colorado.",1350102,NASDAQ,USD,USA,MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES,"12300 GRANT STREET, THORNTON, CO, US",December,6/30/23,1131300,-20647564,None,0,-9.99,0,0,-162.36,1.31,0,-84.81,-1.27,-22.55,244530,-6764594,-162.36,-0.902,-0.841,3,-,-,81.29,59.26,81.89,-6.99,1.732,1494,2,12.03,102.73,499980,7/23/18,None
ARKO,Common Stock,Arko Corp,"Arko Corp. The company is headquartered in Richmond, Virginia.",1823794,NASDAQ,USD,USA,TRADE & SERVICES,RETAIL-CONVENIENCE STORES,"8565 MAGELLAN PKWY, SUITE 400, RICHMOND, VA, US",December,6/30/23,887554000,273728000,21.37,None,2.335,0.11,0.0159,0.35,76.52,0.0054,0.0172,0.0297,0.138,9187242000,1139725000,0.35,-0.554,-0.028,10.15,21.37,-,0.12,4.018,0.342,11.63,0.345,10.65,6.65,8,8.25,118657000,9/1/23,8/14/23
